ECS_Version,Indexed,Field_Set,Field,Type,Level,Normalization,Example,Description
1.6.0,true,base,@timestamp,date,core,,2016-05-23T08:05:34.853Z,Date/time when the event originated.
1.6.0,true,base,labels,object,core,,"{""application"": ""foo-bar"", ""env"": ""production""}",Custom key/value pairs.
1.6.0,true,base,message,text,core,,Hello World,Log message optimized for viewing in a log viewer.
1.6.0,true,base,tags,keyword,core,array,"[""production"", ""env2""]",List of keywords used to tag each event.
1.6.0,true,acme,acme.account.id,keyword,custom,,,Customer account for this activity.
1.6.0,true,agent,agent.build.original,keyword,core,,"metricbeat version 7.6.0 (amd64), libbeat 7.6.0 [6a23e8f8f30f5001ba344e4e54d8d9cb82cb107c built 2020-02-05 23:10:10 +0000 UTC]",Extended build information for the agent.
1.6.0,true,agent,agent.ephemeral_id,keyword,extended,,8a4f500f,Ephemeral identifier of this agent.
1.6.0,true,agent,agent.id,keyword,core,,8a4f500d,Unique identifier of this agent.
1.6.0,true,agent,agent.name,keyword,core,,foo,Custom name of the agent.
1.6.0,true,agent,agent.type,keyword,core,,filebeat,Type of the agent.
1.6.0,true,agent,agent.version,keyword,core,,6.0.0-rc2,Version of the agent.
1.6.0,true,client,client.address,keyword,extended,,,Client network address.
1.6.0,true,client,client.as.number,long,extended,,15169,Unique number allocated to the autonomous system.
1.6.0,true,client,client.as.organization.name,keyword,extended,,Google LLC,Organization name.
1.6.0,true,client,client.as.organization.name.text,text,extended,,Google LLC,Organization name.
1.6.0,true,client,client.bytes,long,core,,184,Bytes sent from the client to the server.
1.6.0,true,client,client.domain,keyword,core,,,Client domain.
1.6.0,true,client,client.geo.city_name,keyword,core,,Montreal,City name.
1.6.0,true,client,client.geo.continent_name,keyword,core,,North America,Name of the continent.
1.6.0,true,client,client.geo.country_iso_code,keyword,core,,CA,Country ISO code.
1.6.0,true,client,client.geo.country_name,keyword,core,,Canada,Country name.
1.6.0,true,client,client.geo.location,geo_point,core,,"{ ""lon"": -73.614830, ""lat"": 45.505918 }",Longitude and latitude.
1.6.0,true,client,client.geo.name,keyword,extended,,boston-dc,User-defined description of a location.
1.6.0,true,client,client.geo.region_iso_code,keyword,core,,CA-QC,Region ISO code.
1.6.0,true,client,client.geo.region_name,keyword,core,,Quebec,Region name.
1.6.0,true,client,client.ip,ip,core,,,IP address of the client.
1.6.0,true,client,client.mac,keyword,core,,,MAC address of the client.
1.6.0,true,client,client.nat.ip,ip,extended,,,Client NAT ip address
1.6.0,true,client,client.nat.port,long,extended,,,Client NAT port
1.6.0,true,client,client.packets,long,core,,12,Packets sent from the client to the server.
1.6.0,true,client,client.port,long,core,,,Port of the client.
1.6.0,true,client,client.registered_domain,keyword,extended,,example.com,"The highest registered client domain, stripped of the subdomain."
1.6.0,true,client,client.top_level_domain,keyword,extended,,co.uk,"The effective top level domain (com, org, net, co.uk)."
1.6.0,true,client,client.user.domain,keyword,extended,,,Name of the directory the user is a member of.
1.6.0,true,client,client.user.email,keyword,extended,,,User email address.
1.6.0,true,client,client.user.full_name,keyword,extended,,Albert Einstein,"User's full name, if available."
1.6.0,true,client,client.user.full_name.text,text,extended,,Albert Einstein,"User's full name, if available."
1.6.0,true,client,client.user.group.domain,keyword,extended,,,Name of the directory the group is a member of.
1.6.0,true,client,client.user.group.id,keyword,extended,,,Unique identifier for the group on the system/platform.
1.6.0,true,client,client.user.group.name,keyword,extended,,,Name of the group.
1.6.0,true,client,client.user.hash,keyword,extended,,,Unique user hash to correlate information for a user in anonymized form.
1.6.0,true,client,client.user.id,keyword,core,,,Unique identifier of the user.
1.6.0,true,client,client.user.name,keyword,core,,albert,Short name or login of the user.
1.6.0,true,client,client.user.name.text,text,core,,albert,Short name or login of the user.
1.6.0,true,client,client.user.roles,keyword,extended,array,"[""kibana_admin"", ""reporting_user""]",Array of user roles at the time of the event.
1.6.0,true,destination,destination.address,keyword,extended,,,Destination network address.
1.6.0,true,destination,destination.as.number,long,extended,,15169,Unique number allocated to the autonomous system.
1.6.0,true,destination,destination.as.organization.name,keyword,extended,,Google LLC,Organization name.
1.6.0,true,destination,destination.as.organization.name.text,text,extended,,Google LLC,Organization name.
1.6.0,true,destination,destination.bytes,long,core,,184,Bytes sent from the destination to the source.
1.6.0,true,destination,destination.domain,keyword,core,,,Destination domain.
1.6.0,true,destination,destination.geo.city_name,keyword,core,,Montreal,City name.
1.6.0,true,destination,destination.geo.continent_name,keyword,core,,North America,Name of the continent.
1.6.0,true,destination,destination.geo.country_iso_code,keyword,core,,CA,Country ISO code.
1.6.0,true,destination,destination.geo.country_name,keyword,core,,Canada,Country name.
1.6.0,true,destination,destination.geo.location,geo_point,core,,"{ ""lon"": -73.614830, ""lat"": 45.505918 }",Longitude and latitude.
1.6.0,true,destination,destination.geo.name,keyword,extended,,boston-dc,User-defined description of a location.
1.6.0,true,destination,destination.geo.region_iso_code,keyword,core,,CA-QC,Region ISO code.
1.6.0,true,destination,destination.geo.region_name,keyword,core,,Quebec,Region name.
1.6.0,true,destination,destination.ip,ip,core,,,IP address of the destination.
1.6.0,true,destination,destination.mac,keyword,core,,,MAC address of the destination.
